Consulate: ABJ
+---------------+-------------+---------+---------------+--------------+----------+--------------+
| Case Number   | Consulate   | City    | Country       | PrevStatus   | Status   | statusDate   |
| 2023AF4354    | ADD         | Addis Ababa | Ethiopia  | Refused221g  | AP          | 16-May-2023  |
| 2023AF11885   | ADD         | Addis Ababa | Ethiopia  | Ready        | AP          | 16-May-2023  |
| 2023AF12232   | ADD         | Addis Ababa | Ethiopia  | Refused221g  | Refused     | 16-May-2023  |
| 2023AF14472   | ADD         | Addis Ababa | Ethiopia  | Ready        | AP          | 16-May-2023  |
| 2023AF17330   | ADD         | Addis Ababa | Ethiopia  | AP           | Issued      | 16-May-2023  |
| 2023AF17686   | ADD         | Addis Ababa | Ethiopia  | Ready        | Refused221g | 16-May-2023  |
+---------------+-------------+-------------+-----------+--------------+-------------+--------------+
Consulate: AKD
+---------------+-------------+----------+--------------+--------------+----------+--------------+
| Case Number   | Consulate   | City     | Country      | PrevStatus   | Status   | statusDate   |
|---------------+-------------+----------+--------------+--------------+----------+--------------|
| 2023EU2995    | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU9718    | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU11233   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU11323   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU12917   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU12955   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU13865   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU18475   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU20777   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU22569   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU24183   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU25158   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
| 2023EU27373   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready    | 16-May-2023  |
