Consulate: ABJ
+---------------+-------------+---------+---------------+--------------+-------------+--------------+
| Case Number   | Consulate   | City    | Country       | PrevStatus   | Status      | statusDate   |
| 2023AF42146   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF42362   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF42453   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF43101   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF43531   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF44547   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF44776   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF45196   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF45951   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF47934   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF48125   | ABJ         | Abidjan | Cote d'Ivoire | InTransit    | Ready       | 27-Mar-2023  |
+---------------+-------------+---------+---------------+--------------+-------------+--------------+
Consulate: ACC
+---------------+-------------+--------+-----------+--------------+-------------+--------------+
| Case Number   | Consulate   | City   | Country   | PrevStatus   | Status      | statusDate   |
|---------------+-------------+--------+-----------+--------------+-------------+--------------|
| 2023AF40      | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF922     | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF1377    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF2190    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF3511    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF4465    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF5206    | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF5618    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF5696    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF7139    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF8053    | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF8328    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF9630    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF9720    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF9912    | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF10120   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF10523   | ACC         | Accra  | Ghana     | Ready        | Refused221g | 27-Mar-2023  |
| 2023AF10832   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF10979   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF11003   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF11165   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF11345   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF11479   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF11540   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF11559   | ACC         | Accra  | Ghana     | AP           | Issued      | 27-Mar-2023  |
| 2023AF11636   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF11794   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF11898   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF12220   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF12698   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF12800   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF13317   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF13605   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF13769   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF13976   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF14143   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF14173   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF14217   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF14320   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF14345   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF14812   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF14906   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF15077   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF15509   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF15680   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF15960   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF16194   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF16199   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF16220   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF16303   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF16588   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF16814   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF16873   | ACC         | Accra  | Ghana     | Ready        | AP          | 27-Mar-2023  |
| 2023AF17323   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF17416   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF17557   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF17802   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF18647   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF18992   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
| 2023AF19185   | ACC         | Accra  | Ghana     | Ready        | Refused     | 27-Mar-2023  |
| 2023AF19882   | ACC         | Accra  | Ghana     | InTransit    | Ready       | 27-Mar-2023  |
+---------------+-------------+--------+-----------+--------------+-------------+--------------+
Consulate: ACK
+---------------+-------------+----------+-------------+--------------+----------+--------------+
| Case Number   | Consulate   | City     | Country     | PrevStatus   | Status   | statusDate   |
|---------------+-------------+----------+-------------+--------------+----------+--------------|
| 2023OC1255    | ACK         | Auckland | New Zealand | InTransit    | Ready    | 27-Mar-2023  |
| 2023OC1298    | ACK         | Auckland | New Zealand | InTransit    | Ready    | 27-Mar-2023  |
| 2023OC1404    | ACK         | Auckland | New Zealand | InTransit    | Ready    | 27-Mar-2023  |
+---------------+-------------+----------+-------------+--------------+----------+--------------+
Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+-------------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status      | statusDate   |
|---------------+-------------+-------------+-----------+--------------+-------------+--------------|
| 2023AF5449    | ADD         | Addis Ababa | Ethiopia  | Ready        | Refused221g | 27-Mar-2023  |
| 2023AF9306    | ADD         | Addis Ababa | Ethiopia  | AP           | Issued      | 27-Mar-2023  |
+---------------+-------------+-------------+-----------+--------------+-------------+--------------+
Consulate: AKD
+---------------+-------------+----------+--------------+--------------+-------------+--------------+
| Case Number   | Consulate   | City     | Country      | PrevStatus   | Status      | statusDate   |
|---------------+-------------+----------+--------------+--------------+-------------+--------------|
| 2023EU9958    | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
| 2023EU10647   | AKD         | Ashgabat | Turkmenistan | AP           | Issued      | 27-Mar-2023  |
| 2023EU10827   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
| 2023EU10892   | AKD         | Ashgabat | Turkmenistan | AP           | Issued      | 27-Mar-2023  |
| 2023EU13279   | AKD         | Ashgabat | Turkmenistan | Ready        | Issued      | 27-Mar-2023  |
| 2023EU14303   | AKD         | Ashgabat | Turkmenistan | AP           | Issued      | 27-Mar-2023  |
| 2023EU14918   | AKD         | Ashgabat | Turkmenistan | Refused221g  | AP          | 27-Mar-2023  |
| 2023EU15256   | AKD         | Ashgabat | Turkmenistan | Ready        | Issued      | 27-Mar-2023  |
| 2023EU15314   | AKD         | Ashgabat | Turkmenistan | AP           | Issued      | 27-Mar-2023  |
| 2023EU16435   | AKD         | Ashgabat | Turkmenistan | Ready        | Refused221g | 27-Mar-2023  |
| 2023EU17328   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
| 2023EU17656   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
| 2023EU18492   | AKD         | Ashgabat | Turkmenistan | Ready        | Issued      | 27-Mar-2023  |
| 2023EU20941   | AKD         | Ashgabat | Turkmenistan | Ready        | Issued      | 27-Mar-2023  |
| 2023EU21853   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
| 2023EU22166   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
| 2023EU23049   | AKD         | Ashgabat | Turkmenistan | InTransit    | Ready       | 27-Mar-2023  |
