Consulate: YDE
+---------------+-------------+---------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City    | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF56191   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56285   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56295   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56297   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56351   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56352   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56368   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56390   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56402   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56488   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56495   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56507   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56598   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56678   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56752   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56779   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56802   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56804   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56820   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56824   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56835   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56854   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF56988   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57003   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57041   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57086   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57131   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57263   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57280   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57307   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57374   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57391   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57417   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57420   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57421   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57458   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57462   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57470   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57476   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57639   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57664   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57712   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57729   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57737   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57768   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57818   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57826   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57846   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF57874   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58011   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58051   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58086   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58156   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58192   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58209   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58220   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58234   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58245   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58310   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58422   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58431   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58488   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58606   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58763   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58777   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58823   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58841   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58904   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF58998   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59092   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59100   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59222   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59263   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59277   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59390   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59650   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59728   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59735   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59766   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59778   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59783   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59813   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59829   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59837   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59852   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59866   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59958   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59969   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF59976   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60057   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60108   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60206   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60246   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60256   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60274   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60308   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60337   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60352   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60563   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60617   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60765   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60782   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60932   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF60982   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61034   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61131   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61303   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61330   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61447   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61555   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61640   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61649   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61720   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61748   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61789   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61917   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF61934   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62024   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62119   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62170   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62194   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62200   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62203   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62237   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62284   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62290   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62321   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
| 2023AF62467   | YDE         | Yaounde | Cameroon  | InTransit    | Ready    | 29-Jul-23    |
