Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF8078    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF8135    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9321    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9429    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9433    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9593    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9599    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9615    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9669    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9675    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF9765    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF10210   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF10219   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF10245   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF10291   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF10838   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF10975   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF11134   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF11370   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF11544   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF11562   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF11632   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF11823   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF11959   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12156   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12444   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12451   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12620   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12650   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12753   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12918   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12972   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF12981   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF13497   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF13554   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF14046   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF14938   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF15398   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF15884   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF15941   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF16152   | CRO         | Cairo  | Egypt     | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF16263   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF16293   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF16319   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF16520   | CRO         | Cairo  | Egypt     | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF16541   | CRO         | Cairo  | Egypt     | Ready        | AP          | 16-Jul-2023  |
| 2023AF16617   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF17134   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF17214   | CRO         | Cairo  | Egypt     | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF17404   | CRO         | Cairo  | Egypt     | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF17522   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF17537   | CRO         | Cairo  | Egypt     | Ready        | AP          | 16-Jul-2023  |
| 2023AF17542   | CRO         | Cairo  | Egypt     | Ready        | AP          | 16-Jul-2023  |
| 2023AF17859   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF17869   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF18275   | CRO         | Cairo  | Egypt     | Ready        | AP          | 16-Jul-2023  |
| 2023AF18329   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF18576   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF18601   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF18730   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF19072   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AF19116   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF19224   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF19426   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF19575   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF21407   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF23145   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF23754   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF23993   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF24354   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF26932   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF27120   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF27485   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF27766   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF29151   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF29200   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF30005   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF30611   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF31213   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF31303   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF32272   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
